sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note
B11,0.382334388604156,0.0182935172268569,0.272248940975433,10.9852379496282,2.54600505727034,11.7576032842371,11.7067916666667,0.0082324101724331,
B12,0.423050710483741,0.0069792336066042,0.293119811619334,13.9462356026683,2.36472306914592,11.8092988360325,11.8059166666667,0.0161250438659144,
C01,0.449644649919476,0.107877359424796,0.147449854066683,7.82052348986179,4.70090109581576,14.5145185765534,14.431875,0.0568156925180854,
C02,0.339573332044708,0.00694877065185535,0.84854914609004,4.55889876171927,0.816861561588791,12.6774277756096,12.6522083333333,0.020893722717849,
C03,0.441883391876345,0.00176539075059874,0.563620461529156,9.79146641702406,1.22981195302841,14.192453954916,14.1914583333333,0.0740393000523313,
C04,0.481832508348787,0.00475819251529809,0.440371119390644,10.4634573018069,1.57400690017791,15.1443211549552,15.1097916666667,0.0569501682454917,
C05,0.406258157059144,0.00947253036342551,0.279229921012564,13.3760739853059,2.48235281536593,11.5610262284434,11.5378333333333,0.0256100740922589,
C06,0.416595651682073,0.013441607159658,0.25273369609479,13.456709088088,2.7425989936062,11.8034718615788,11.7784583333333,0.022935329166458,
C07,0.431737291691033,0.028266104652379,0.24789833394513,10.723919212828,2.79609455024965,13.3499085528743,13.285625,0.0126630575911134,
C08,0.431007599925588,0.0282792811649956,0.241502932970894,10.9983457870467,2.87013980340969,13.2059360251375,13.136625,0.0132259587293377,
C11,0.344718871729787,0.00932425846526167,0.768835526233824,4.65988917677002,0.901554567796,12.830819492856,12.8011666666667,0.0233134311841772,
C12,0.515456554186644,0.00242567079855311,0.536163051652325,9.98619342436361,1.2927917700107,16.4542369414535,16.4464583333333,0.0380064018144017,
D01,0.311377446727132,3.99578299681005e-05,0.312870891430978,28.6405938497569,2.21544157524434,4.14925172629811,4.17475,0.0034911662475989,
D02,0.156399562607204,4.29345360906281e-05,0.314993988546602,26.0329355909444,2.20050923434495,2.48739566810435,2.52120833333333,0.00223416201867037,
D03,0.398229718055813,0.00984974557390211,0.196128819245382,18.7353320143377,3.53414242346879,9.20206150712897,9.139,0.00759008164325922,
D04,0.396063332426074,0.00968574838027691,0.19385771544503,19.0147681969592,3.57554600789925,9.04398368885394,8.98808333333333,0.00659519301690313,
D05,0.325157749214281,0.00156606920466695,0.512543911670138,10.400891639059,1.35236643100745,10.2445356693334,10.2512916666667,0.0273701150931934,
D06,0.335771334424977,0.000943079118476881,0.566265460316863,10.370088306986,1.2240675604196,10.5907689447806,10.6084583333333,0.0309907430065331,
D07,0.37023280581132,0.00349501356403832,0.241286128852145,19.2854429537163,2.87271872551236,8.37077669132078,8.33604166666666,0.00910839984301993,
D08,0.376446298336525,0.00369711812595386,0.236656978602455,19.4938351292262,2.92891080015147,8.43316139751955,8.40083333333333,0.00831616419748761,
D11,0.158418980245915,1.72932526296612e-05,0.34448908676113,26.4814571929321,2.01210200031845,2.44743060981361,2.50258333333333,0.00263410257478363,
D12,0.370911307036751,0.00579379835933581,0.240399827682855,17.2355828462175,2.88330980617163,9.13428488642603,9.11320833333333,0.017065553816552,
E01,0.530159016906952,0.0304648572690912,0.299995963312463,9.32486691169249,2.3105216913802,17.1743512912286,17.13975,0.036664261254608,
E02,0.533047150597601,0.0352770586334765,0.273130977070343,9.69097493260649,2.53778311048706,17.0444764542045,16.999625,0.020207541056655,
E03,0.546097558750648,0.00274351738469745,0.38445182453893,13.7560026136169,1.80294938485786,15.371343947266,15.5575,0.0438018348239764,
E04,0.5254973417822,0.00315405817163515,0.38828015003681,13.159660803045,1.78517284618911,15.1036016633574,15.2644583333333,0.0464224717330348,
E05,0.415276347012424,0.000383324940203997,0.740560174767426,9.43460530092356,0.93597685127698,13.4885139335322,13.51475,0.0175047144645778,
E06,0.425592911823494,0.000342413117812664,0.737026571665057,9.66642995244401,0.940464302384674,13.7250073760281,13.7785833333333,0.0190917247895907,
E07,0.465684488819633,0.0111947074209603,0.386320996180499,9.5871939446691,1.79422601259832,15.0260067967226,14.962125,0.014309553637815,
E08,0.472690633108587,0.0123362472466298,0.374629088196504,9.66143540811464,1.85022253316424,15.2133862668929,15.1448333333333,0.0151789001147951,
E11,0.519338424080772,0.0382874408519244,0.260005581318677,9.73383462991224,2.66589346676518,16.5612782953867,16.5149583333333,0.020372591877529,
E12,0.633302155531529,0.00257984932339718,0.386698060951765,14.2207454349469,1.79247648372978,17.5332380633353,17.7172083333333,0.0332103733375643,
F01,0.412145899528,0.00824266729607954,0.309572423808554,12.5716990056485,2.23904691520134,12.0676632585934,12.0242083333333,0.00703028867980331,
F02,0.396637384376713,0.00932502385026033,0.296879850656659,12.5523169362232,2.33477340758153,11.6154323006224,11.5703333333333,0.00660222551602309,
F03,0.338487608308704,0.0122951133491829,0.232668259503781,14.0899570688258,2.97912221477154,9.36741099703727,9.280625,0.0178134831342004,
F04,0.356898941689999,0.0122006763330943,0.227006575785655,14.7184196857651,3.05342335639841,9.65561021255511,9.57075,0.0169032110275501,
F05,0.261819318678572,0.0147010621712779,0.257488339329445,10.959514721961,2.6919556138544,8.04677183146991,7.98245833333333,0.0137688878095421,
F06,0.25791791827754,0.0158819019474207,0.244732922902857,11.1301180566486,2.83225964180994,7.87398663858229,7.80720833333333,0.0147680660418646,
F07,0.394851978158018,0.0109903371151757,0.164091812831543,21.6541317564622,4.22414237858127,8.0178221289902,7.99454166666667,0.00438446006850841,
F08,0.393290482474054,0.00863193133807498,0.172882853696811,21.9621998702792,4.00934601516664,7.8685268799047,7.84620833333333,0.00429746829288692,
F11,0.390939883785552,0.00653858773558549,0.334606616026,12.1753894095531,2.07152861707339,11.6074007654431,11.57625,0.00541271106004771,
F12,0.475124688994263,0.0192095710963538,0.183845484372886,17.2258677367072,3.77027036004901,11.6520068032034,11.4942916666667,0.0285457696895617,
G01,0.435621483288665,0.00546430181060413,0.696734519256487,6.26625235668027,0.99485121147669,15.5221940263607,15.5099583333333,0.0278254482687247,
G02,0.367972717124051,0.00403850201501271,0.764006789693326,5.89143885820306,0.907252644754867,13.2509857906107,13.2462916666667,0.0292908227273643,
G03,0.435501174020609,0.0248091513757388,0.355310376994379,7.89909663917955,1.95082166308616,14.7428069551377,14.699,0.0178805559420439,
G04,0.433878034732129,0.0226235074266056,0.364067883520865,7.96615940220207,1.90389543251271,14.6665648649078,14.6261666666667,0.0177726497501839,
G05,0.296540565603152,0.00183172668579387,0.470261692087382,10.8040457081029,1.47396054627207,9.22224729343415,9.21616666666667,0.0558826062224728,
G06,0.302929666206401,0.00150360639309815,0.496064574781949,10.6854198624792,1.39729223935135,9.45783266620988,9.46379166666667,0.043467909633571,
G07,0.402516775566912,0.0220489422726869,0.347010073730863,8.20764934535024,1.99748431827239,13.503108265167,13.4834583333333,0.0155127201952779,
G08,0.425671699676984,0.020753687714165,0.369332377116055,8.04413812339715,1.87675715292661,14.3609725539826,14.3405416666667,0.0144818487105454,
G11,0.386202001805737,0.00383813819724921,0.772471644831807,5.95670443569982,0.897310840077329,13.8828158979815,13.884625,0.0286472966101949,
G12,0.600256972361726,0.057288390545417,0.199843927354038,11.2535491708498,3.46844254782876,18.111011559038,17.9998333333333,0.0280691336039126,
H01,0.600444582655755,0.0203736646499391,0.192462238060276,17.400334132636,3.60147106022358,14.6407360776557,14.521,0.0168363502081853,
H02,0.55644995640024,0.0251898291353046,0.179894332997254,16.9477905448285,3.85307957739016,13.7850900521412,13.6586666666667,0.0183993876180626,
H03,0.335184140507578,0.00556487213183948,0.54912523268777,7.43266563980546,1.262275232131,11.5482711129146,11.5680833333333,0.0198154671153606,
H04,0.319548544630784,0.00704665732575099,0.507740883946551,7.46848887343044,1.36515928197918,10.9938313324467,10.9865416666667,0.0139710551360372,
H05,0.431472812418939,0.00728182523462953,0.485789578373838,8.36741343662931,1.42684654306548,14.4604730242384,14.4895416666667,0.0348546851521385,
H06,0.430014976344292,0.0089672377076354,0.439951153022662,8.74908160477876,1.57550940780064,14.2419608856176,14.2665416666667,0.0305970746936087,
H07,0.494981354713888,0.029381349271217,0.230073787798328,12.0090464891085,3.01271686441536,14.6742718650829,14.5882916666667,0.0212450344988247,
H08,0.497247195280266,0.0269411582248447,0.245646637247606,11.6416348894582,2.82172468683652,14.9426092771652,14.8677083333333,0.0191643928138912,
H11,0.549235594775501,0.0194800291862521,0.191233340741742,17.2722282310623,3.62461471347736,13.4575611884251,13.334375,0.0159766259144862,
H12,0.261895306154311,0.00261696120563749,0.743176583881936,6.18411354148475,0.932681674305902,9.35464891094539,9.36754166666667,0.0288500520506811,
